ANPH@R XQPKVG>LMJQPT: UYB<;?G?E>X A:XR>;H 7@79ORR7>IEIQ GQSQ@B8IKO 
P@OP:IJ@9JA< LCRDOLXK 8DUHW=MZLPJ@;M WJU?N;JTKPO LS9BENZV <>SU:COY<PNY 
W>8>B:DI>@I S77F@O?M =NXIIR:VS<J VC9@>H7 UUR:NZXO;II G?R?H=>B 
FXMDC =E@OAPMFXOG ;PPU79;HF >FP7C9AZQOWQ? J?MEEEMF=AAHJ Q;>UBAQ 
GIWWMBUPYQZZ LLZGM SNSCWBI<JZ;Q =Z8WEX?:< AY?DK WE<KD 
;AENS>XBPK O:VVVDB8< :>:=<WZW U7HN>Q;S Z7MFSAY UF@OT=BAX 
ZB;9LOBK<CGQUX JK>A99SUWPK7A =:JH7XZ J8LUI?@< JTR<YL<XKK 7RG?@@LQM 
IPNGZBDL M:HKW <J:M98GUX L9<;T Z@TR?YR<M;<Q EZY8YLED>AFLX> 
=FHNJI P8E=YXQ9BM8XF UUD;>BQ7J>EC NPG=D@ F9J@U@8L=PRZ 8THYGA 
9;LNGW8BZB=Y 7E8O8 EGITB?<LUKT@; MJUO@ZE<A?G< ZQ<AXST:?T; @FG7ELNZRS 
EMFV99MB:Z PG8CNZ8 ?W<EY?? =V8RN BA=E9JC=OYEYC YZP7@=UPZN 
HMVB8KTHYZGA ?B8KN>?U@Z=< PKPZK V?FK>F78I: 8CQWFXR QILUBQZRU 
L8<IW J8@N8T?G H:SFJVEH@TC;U 7;@Y8RS BKJQKJBWNT@DRC TX:7T8P 
PK?MSIMLA 9IXG8LY;X HNNBO?R L<=XOMTPTS8 P<MU@X@U< U<LR7?HOA> 
LZWDTSM @CNH@RHKSXNK ?;BV;ISAZZUFN M=RJNS<IVD?A 9FHYC:CY KE<A>8> 
8R=CL?8Y>LGIDE <TCAKLED<=AB LH;MI@S7PT JW:NNBTFAYPVZ< BUI7>9MMR9X QZ@8M:HFZI 
YW=7BY;JPRGDA TTU?M<S S@9NF EFMCD LP=RUZ= 7L97T: 
SMTD9PI GTNAPR@IA @JVD979@;7F <V=>WBC;I<H<D 7FLCI FO@ZNEUG><?: 
?ABZIQ= VN;OGIK>C;V D;WI8Y;>G ;KMKI D:C=AX; M:NN;W 
?UH>J=9A QGJEFH<F8 FWHXQPY8MNTUS? ?ZUVR89?8N ;OQN:FSUL@@=:R ?VS;@VEZ 
>>SPBW9>KNPCKB V@;>SVSX9: :S89H KKFXDVRH <BY8BMKE 9DXY>B;SLNN?O 
VSUVDDR V?A8:EELH:RC ;J<DAS ;EOUMJFKCZ@?E P;KWD@ VB8V<ANAP8EK 
TXMQS<RHU PX<SDFIO>PTK: D;GITIDCRI;RO WI:HV8GLN:V< 8OHGC7PC;QMI:; :KGT8DMYQ7;9A 
CDV:9TOT>ONHD OBTB;H>T<QVF<M S=BET>FIG MJDP= >N=P;BSW@K7: YQ@F;@Y@HH7 
R9OEELN98G 7E?REJJH<K T?7WFEY7AKK=IQ @:NWC>= MB<CZQ K=LR<Z 
EQHJFAKG@@G9 U;AU<DLH7CVHUC KAFINE 7>HZTDH<T >ZZDISZIB: V@<BFLIIIOQQI 
PGITZ:Q;?CZ>MA QXQRRMZWRYEHUE ?VG=UW:LPS ;9@RVS:HWGX ENM?<HLL7?T 9KCOG 
LUWLC9M :ETABFP> :IY:DWYNH <8TBSZXX=D78 MX=VX @<GJC?F=8G?YI 
>?U8V:RRFOJO W?FC>Y DHT=>;S JGJZOAMNK= 78TGTU MKVQHCWKD:?B 
E>RYRBTHUK ;IK:I@Z>W UY=BRZU MBOKPEVJIBD M<>AIQCS: <<E=;V 
J<>WQEPG7;Y= :Q<FEAH:M8 YJ@AY JR9?ZDTRM9E<W 9;AV7:TCXGVGG 7=AZKW9 
=M@EMB TT>GVI=Y TJ>FIMC;VBQR7 @=GOHKU VT;K8 <SYUXPG9Y8@ 
>@MMV?IX9<:LX CF:H2:6H:GH:H6:3F ;@JM7:>L BA=79JG>JF<LM AO9RRD@FP= XKN@O@VTTZQ 
JAFD:X>K>HC9YO HDA@CDT<;JR@B W;MC=V O9BK?P>IFO<;? DKWMFZS>=@ VZN;SRMENR=QV 
8B7:BGW V>BW>AJ 6917232223 F<7YIK<X NEP9YEHAOI=E UARWN 
;<ZETL 88M9ZAYCQR CLVK:>TTTFPJP D@P=RQUYBUG<CJ TCMSZEADYF GR?IHJ 
9=ZOFDL?D @BTFJ<;QXILCLV SFQ<YFN>>9DW GIOTNZPGY;;QLY >X;AOBN:@LK F;7YFL=>WZDX 
7VOY@? HSQ8>SAHHH WUH>V7WSJK<KI X>VMN9XVGD AGTIW8<PJ?> >AYOKG 
Q<BOWLG GV>?ANVZY@ W:S=LD9?NW N?U8@BU;DCQ;8 ?JI@DH< 8:@JZ7 
HPY?A CA<Y<@YA <=LIM7KAM:YID 89OP>=L L8CUX FS:@SD:@WPGV 
<:ZY7QNIEL?7 RPPDA@8ORQ Y7XT9VR XBAUXKD JZ?V9UH7RMZWMU JJQ>< 
UJ@JY D;:7;N 9NSGSLCI; >FMCKXWWG IEIS;@ 9ZFS<99X7N 
T<YS>D:HV :TLU:8G;W;MLWO TRIKY><AH FOJ88;;ELIX N:W97WPFM:NI ;JEOIH=OL<QNX 
K@EW:KYBI CUI7CDRXT= LZLDD KLV9?XDLQ =9PIHSPC7UZW8 9PKNSIP 
MZ?ESVZIQY@U== P;BMR8H:CUCJ DE9WMG@EEJF 7QA7T@E@UO @ZRL8GOXO P>OI=?R 
WQL@XMS HOUKLJKCFOP FRJUCVH JHIETJW ?=9HJG? FMK>>S>>KQ< 
OBREGFN;GL ?>T:LTL:9FUTRY HP=PGOLCCIC: S9=EOC8 WG>IZT> @88DP>KGL8=TX 
A@Y?8<AWQ MDRAQMUQR@ SHKJ;YX7BSBWM? D<GXG ;OQU<P ERKMPR;8GO9XU? 
W@ML>N;W <C>LX SKREJDR<OQ><: O@>FIY<BUKPX N8IYK8 O@@UFOZPO;NZ 
8H>::Y8THVUGJ EQE8;9K7 HMPF@WA K@8IM VQNTL7MJEV ZRGVF=UNAZS 
KMAF>ICRS A@K9LLNP=@ SNMJCJLRYIFY T>>SR=?OTW>B UMVNJ >IUIJG;@<RRS> 
MS<X8VLL87L=>Q ?<KUIF;JV@ Y>E=UCMC=DGGM IJEKJWP7 YQIDO78U MQMPWRNDQ9QJ 
;LGHZ<HTX FMG;>MT PHDW<;Q>H; JV:;DB FPUH: ?JGHUCRBH 
YI<B=W=8T<A=7R L;7VL@QATCML DXU:<SXLU I=SVW7<7AD BRUSR>X GDIB: 
=WWCLBWF7; 9LG77 CTVFVWX>>8Z@Y ZG:I<J7 FMYHV;G@DDNVX BFOCQ@> 
NKE;F7QD>7=MCI Q>??8YN;E9I >U@MUB>>>8 GBPDH EY?RWW;8HRLA YUKA<?J 
ZE9QI8?YQEI >VIXIYEL 79TJM@;SB ?MUVLN N@NECOFZD9A D?YFNKL7: 
ZZUPC7UMF EPCD=NSVM>E VOLMNGSOF= @LDR7?F @8P:9=O@RNM8 :OEVS9Z7YY=M 
BSC?NLONCC XU<V9TR89SE7>> HD:TDI@BMST8W; NJY=NTSGH9?I 9XN=B ?7F?D 
XY89OOI:QMHGSX =OFHO EEBJEX;>XL;7=B YDATGQ9 V:E:TFKF=? H9QGHR8ZWUP 
DKFQRAA R>K7> H8@HY =; A1:B2:C3:D4:E5:F6 ?DEESOPS TC=XH@L?WVPX JATKK@FIT 
FLYSNLBPUZIV KBQDZHU8GU KZ;=YZS@ 9KJ8=@:VHNRJG DVBFCJ Q@SHV 
FSJFOM 8ISI<BO EI;@CBWFFP@Z DP@AXU:7;RDO :>JI88:;K?>LEC UALAQXE8IZH 
HV7PAPB>O8I ET?JA=7W=WQ; YUGA@>K AZ=QJFW=@ OZMHO YJE7YP 
@>GEE7LEC XZCWBAC<;KEUZ8 PZV@YSVDNSI@G ILI=GRWJ X7@VZIQNIXB8O RIANNFNZ 
?@=<W97RSTBRL? <@?NE:SL;8 79FJ>GK LPR<;;MIRB 8PSTHV Q8EB9; 
KUVCHEM<;=:X J:>=MOK8 PC:I:WETN:C 9?O;<9PW>@WN7= PWC<FVS<:B @CIA;;; 
OPP:@FQ ;W8UX?MLHW NSKTIL=J8GN9 @:89FATFINBW> N8LCMSC>VD 9;GG8:Y 
;KLVREKK>D 7>>ID FNTK?ZEMGLM X>UMSY=F7>BBGW GHN>LAIZ? O>7E;>K 
NMI7LUTS=R SNQ>9L? ZVAKDM7MTOE9ER LJ;HV>TYAY EXSCM HW>DDE7W;PS 
NM7;MNELB >97=A K8?HSQ FYSNY:XISX@V ?ZPDO>D MAJ?XUX<X= 
J?HBUP>=ZRI UK<PPIDROCZNA RZQOOFHA :AUOAU<YS=C8EE 8D<HKM?YZH WMBNXJ7<CNJ 
8W:IX I;VBON YRYFPMFTEBID9 9GB7ACWY;YE T;;QZ?<?S7N Y=L:QLM 
S>XQMFLPCL;?DY >EYL9B=QZ;MJ=I DKN;=>NYB FIX:Q ?SA>UJ:TO ZXSKESCFSF 
<XOVU 9:JI=VT<@:MGV7 B>ZML:C DKSS9J7CW ;O;R= ;YWBBKJ<?J=7@ 
A@BZF<;FV;R;V MUYLAPOGA: XWM<OLO I?9R=GC78VO9UZ 9J<BU:;BLB CHCE? 
=JFKP@T@L8 ZRKUB;TDF L<M>IN ?IK?NA<ZMOYO WZ;JA9HU8;QRH= 89OA:PKWFD><M 
LA9ER;@C 7@C<8SW :IZC:O@=EFO Y=HNPVKY LGICRD;WRYII NTRIATC 
QET:HIS?NF:D=J =OAJOD DRLP;S7F9; POT7O@?LPNMQQ WWYFBZF V;FLKH9QZLN 
L;WXRSTCH9 KEF=EE??8F?;WT =QE7ZX<PXJ;@ M@H;J;N LGKD;H:@ MD@BFT;8 
:=@VDJ:H: GOTVA?C<B KVATCKAOY9 R7RIBHGJ:@:>PT B7I@@J@UC ;HGQBP= 
UW:K==8AH9W;Q AQ8T7XIG; JJE>XK9 LMLUTMY87PKZ TQMUZJ H;VBSGVN@AK 
UW:U>;RZD @:<GJ?YHCTMNSD =?P?OYOHL?NRQV 8P@PA<H8Y;:VF 7YEU<7@DH7RL SBS8NP: 
GJTJE SAAQQM 7SPSKA ;=AXGN;LM XLQZ>FX?HGPA H?8=CDX>Y9E9AF 
HZ;;Z YP:EPXC9NF PZNSOAJG<=: =O8ZCI@AAY UHOPC ?CA=>ZSD;IC 
LLNFXK8: NF>VXBS== 8PLDQLLZ> ?VEYZPVXO DV;FHZFMJI7M9Z >;9AFY 
>>QEZGMBAGQ :PLA7HI=YM 7XN=;T:SOO7BLH Q9TBRV?@< 9YGYRK9? :X7URD9 
XVWBHXSET@X;RI JMEWT7OL YE?FC HDS;AH X>RKH@HLK=S BYBU=LA@?PP@PQ 
EV=M@Y; YMMFV7VQP<=8BI JDU;9IB7;@MJ <:O?RBHNR?=W 8H=OXR;7U;GMAF 7NFULQW9=> 
=;KCW 9>NQEU9PCVO= AA=A?FK9CY9=PI ?JD7; T7XIDW@FDTTU OU>TL;8D 
FYA?CQUZT DWE8O @JYHG7FR AYEBI@X:OIC< O@QLY=RG?KD H@:;O 
LTKSPVQ MV?LHCCOBU>SZO ZYBJHUMNPUR:QB LY@HYYEAL8UI HVLXCBO VSNOAYTV7?OF 
MKCPAP>F8DTP QL;IHRTAHUVE UFSQTKGXV@ ?OOJABXHQ ZUEZAIAXE;WB WEBXFF=?KMU? 
PNI<7XWYQ; VRRZM8@L:TD:P RYQ=D?R G>ORTLB:PCM PJB<L ITG9I7E 
RZTTHK 8NVU<FER GY:ZLYVM7;@? Z8OMZKE 8YISK=N@UE BL;VJ<;CEK?X?L 
T?P9DZBAIZLR :M=>WF> LBFPBDX==YJ SF=IZSA I9B7@GD;?B XWM:Q 
8XTLGTANM S7I?ZIM:C SYP=D>MXV PNSOGMIGK<Q8ND 177708/0422 <HBKE 
<RA=R @PSGTMD AWZ?FAY HKXV>JP8YRWDM XSET8ZH9HS POG?<<BQ 
HW8GI XF;TA PO7GZJ7<Y8VC Z<CPOQYYP: QDBYR@KGOQL= K=RVYHO;PPBW> 
PYL9EGA?P UG7N7X:< B:8HPICGQ7O @SEKNZ9J: TSIKRO;NLZJ>G XS:DTPJOC 
LVCEO?IFXST 5142050407 P:UI<OTUPGGC>P DC:E2:7B:CD:A7:1F 7DGBKZ;XCM S9@A: 
VBUYC VKMRFG G;ABA?EXQ8RX IDFZHJGTSSA S;WP<EXRHT >LHZZWDAZMV 
=CAV8 YJBXV9R JR;K=A ZIMYS9TN9SG C?RG9@L X:?ZZV<?NP 
HYAUQR:? WKCXCJRRKP<VR MMSEHU:8WAXE Q8BZJ 7UH;<Q Q7U9O>9X9 
WH9DRXK>AQHGE< HHZ@CU?P 8P;ROIJ779ZD?G FT=MN>LVXLTZ 8QJ<?=7K>JNO:H H@Z?8K?7HK 
CKKR@7UEJ C=>S9 RPPO?99 W9ZAGFVHW7E=SF CF>TP9WR<HJ= M;;RS8 
EH;:7@BS KI;A7LGR JX<H9CM :T;<8Q <VQMLTW?DCG? ETWONWI>?8 
RRSKJ<9V? 8:TM;OTOHRBXND MANRHRL> ?<8IC:R< DFTT=9? <=IR=K9F<SHS 
J@BUM =T<KYR TLJG8O9S=PEK AGLTO=? M7D9YXHV<EL>;> TOVVGF<SF=FT@ 
8R@AHQWSY7JIXM P;=K>YT O?<TIF>OIL<7LI MEW;DOZGVGH8 Q8?YM8<GKL<S Y87KRNDY@@@ 
<ZA8<<K =X9CFAM8:UM:Y A<B?T7BFMX;=Z O>UHUUFC<DVEK =IE88;WA MQPC:Y@E>Q> 
S:>V;C J:7<::W@7NRA? WJMI@DQO7 VZDJFQZOKMA8@G BH8K7U<>A7 :9<KY8MFYUXTE 
AD?VG ZFBOUL: HLGHPB< VHE>B=R PNONE B=VRU=>77H 
SGVIS9 YCE:J XWWXDI@HU?CD ZW>9CB>>S VJFY? EXQT?BZ 
J=EMMEKJVP9? W@S;AM79C7U <@B@VX7VTDYLVK ;@GF<EYS 4437010915 >WHCQ@L 
QDE?APC; :D@MA9QOJNE TZIDWQ:7 N:NCGNA LHX?FDDH7M W8G8H8JBHDKXD 
SCBGPMD?B7M7Z YLQTG?CL FEQS@GY= SO9VUYP?SPNAG9 =NCVYOWAGPBZ8G LBFLKUWKP=GT>: 
DSNVYG 8HE>>NS9YQLAUY A7ZQ>N7T?JP H@9MJD9SNM@WSB O@KBIBIPVB>9HZ X7<WSQ7HU9R 
G<FCYKMO;89K DFHWY<UO>9QD= XTIVMN@FOND:8P B7@EGLU>N UOEVDSW OEXVVE:8T;MQ<K 
@YMXUQOXQ8PXE ZKQMWRXJ9V=: UZP7CP=;EK T?TVV7< HRF@LEJC9PCA BNJK< 
?@@HBDHZT:<9 PF9<: ;TEAEQ8U@NATM UPWQGXMAD7 >8:O=DXKOKTQ X;B<E 
FZFI?=KI LMYI9@XJD DJG@S9 I:9MGFYU9; O?OY?O9YO=WB NV=P87?79LKCX 
:M7M@OO7:7OW@ ;RKJYMVDC:7X =8CFHF U==?ZQ?ARY=@ GDDD9ZF>MMC OQUD<NI;GAYLL 
UVXIX?HK DJ;9C@C89RMB@> M7E?DEUH W>7APJW=BWR 7Q>@>;I =Y9NBDUV7 
QY=KQIC=PWZ ZAQP89KDGY YZTK9:V7 GBOY@RGMFM PJK@I;8I @>VY=M 
@K?@SZ =8SWLUVRTKNM KLBQJR AVACJBJO @BQ=JHLMU7DL RC:JG8KUMH 
GHUW<BK ZB87APIS N8?>>OQ =V<Q==X;<Q NBDP9B@GPDDXSI 9DCBBU 
XS@UARUG=NVW 7REXP? LG;;=S UKD9WHF>C> @I?VFMMYSEYS 7=Z=OLO 
BBWVJ@??VH NIZOZJC8VC9BF GZFQ=<O;TP=ZJZ R9:JKE:K?F<?IZ XG=;R;AVIET< RC9E9>L 
YU<XJ DXM;B:CBXD 9:9KHW <:8YJ;OOWW@WMM O@JEC EJQ7AZTH7E 
;RUB?S T9;TC?Y;MX VRR;Y>S QDTJ?B9 CYZAGUHR9? OKLRTPC=C 
T7?=WP8E;KKVXP ?IJ79MTG8A <OFD? UWJVESD@O @KXE8EK WMAQI9HCAM 
L?VKGO7<COV QC9CXMEJ; ZHJ7K<A<<FAE@ ?O=AUWV7C; 7Y7UTBQH 7;B8KN9@ 
TAPA<XDZJLN ??=EPV<S UXX9;R?; W;MRXU: >IMRK HX=Y<H:89 
:<:<7XGQL>N B:EVGCIN@ZRXSG :778AFUMD 9JK8ZMT99XW SQ@VG B8MH@BYV 
NY@P=MHG OUJRAR?B<O= JDZNT 7AFLYN=>I8T JSC9U7NKLY T>J9NRNETROW@Y 
=CV9VNM XVGR:DY>GMM?@ SJETT9FU 9HXRVPOR HRCRXS JBW8:<RS 
I97R7HCML<;F KHXG;O 9A:=D TJZ8I :ZJEP?JZZ: L9J8:Q=B 
Y>EHHTQWHFK< L<QM8 R<CD8 NHICRPSLAGOE7 DTDXFVYVB TU;?OHGKW<T@QI 
=JB8SL V>MJ?ZLSEH AVBAKEY=EISUK; 7EWBV@= K>?AOJUZVX9 8NRMVI;IQTX@; 
XSYVY?J<7 <WV;I>7?UAQ=J PGQVCEQX EJRD8U 7Z99<7;UZP<A< ;=I8<QR@? 
NLUA>H;<CJ=V LG:<JYERJG =DL@X?K9HE ENXP@X< OQ?;QWA ROD:8EWQQZTTA 
KWP8XAXK?9DU@ :>?TRGWEVZ LAB9UHF<@=ULW= HEAXGLMDV: CX=HIHAQIKKZAW :;:FI:RT=OUNKX 
H@UME7<@X F@LAM=@ :Z?@N WB:QCWLTP< @?J:RUN KZOOLIO 
SLD@CJ GTL8GI MZRIQ A@MDXJA >R9TA8IBJ>VGM@ ;LMZAYYN 
IZ7EGK XPDWOMX;AQ=UO VUKEDZ@FYS G@D8G:F?NGG S<:DV>FL VME:XWDCLM;> 
B8DQD;=U PTA>IDTO MCZE=GJZUI MP?EH8O@HG T?MSD:I DCRXXST: 
RCLVM7 ;GQPIW RD=WIP7:RPBQ N?VHAUBUA8 KV9LSMW RR>N?PYDEXIO 
:KG<< GTKGP>< MBZCW9R P9EA8U:7LBOAX J@ELR AGS<?O7MPI7O 
IGBZW :>M8ET@@?=7F >F88FOLW8> YMESZXROK YD7<PM7C:M@ M:PQM9R@MN 
BQTKJ=KZQIPE @Q7SA=J:LS: 9QKKUH =C>@Q?WHD=M TO=BEZZ7;NJK ;MLFG78 
E88:NQ=NED? IQV8FK8<7OYT< ::?NE<SMJJDDT ZSAC?FE9E> KF:DOIQ IY>TLCHBAV=K 
P<B>PMC9?8:O V>TU@ ?KQ9UL9GQ=L>? <J<?8WHYLM:MV @FUTQJ=T=EMCNE K<7:X?AAX 
:I=:SS=TM=RO> :MHN:8QX< UZ:DTJNT8KM =A?FF7XQOWN9 A>TP8VG@DXX@MK ZFDLFOO:YL9R 
B>UL7?VT<RIDB= H@EVRA FDMK>I<M 7>OFYCRECCA H:;=<IH EQQP:EZ:N 
;RZ?S7V :CMHGA= Q@BWXHRZY7S =OTXS:KWTCYRP 7@D@E9<MS AVM:UUBK?A@Z7 
B=XWYCI NSGM8G?>8J8 NGJEY8?UJAO> <A>ZS9OG9VOAJS QSYH8W =KZ==8 
7=Q>P DW7;NJS@S@ K=T?SLF NUFYE 77?OZL=<9;DPZA @HYL@FOLC@FU 
@RHF9BP K:VHNKRHU UVPRPJK:S=Z8DE LF9KY FFW=UAGIQDLMA: VLRRNF 
F8DWVGHFPM? <JOB9:KEOR:@ MJF@JM=CFS EHPB<<LFWVIZUN @H=M8TFDU;EHB D7:E:JMNKOAYDC 
?VFL:MOZ FE8;9P<7Q HE:C7:5H:EH:A3:8E MK=>:PVOGM< IAV9U>UPO9IEOT =?UR<@XQ 
CA:B0:2B:BC:C0:6D OMYCE:RJQG PAPE=NU?UL>Y SAV<G ;VX>Q<<CJL:QO U8PJ;S=<UY 
8EULN=XQZD;=7 @:P;X9 TLD9:QJ Z;FH=NFYY LGT9QWJ ?L=JZ 
CWFSUGRD;ZO @N7ALTLDZ: :W>KUA8JZBT97 HIGMJP9O@< XQ9;<;JU:C LLDKIHFGI7LWK 
QE=SNZ?D=7= 8C8YK>ZEUVZZTC RHVTZGXXV:<9<D AM;IN?INXZA7: <JXQFLLV X8QHDI9JLK 
PC=<RR>8><XW @I;I;GPX7NQ>H: OBP>;?EMUIJ ?KI8CKTEILTNRK ;KTRFX7 BW?MH 
YDP;?QD<ZDB8XM >@V?OHQW A?L;V 9J8>V:O@JMRT ZNMGCFTZI? NCKZ7>:WAJPHO 
OYKVC@S MA<OS ICIWFT;NS @RGC;SY7W ORUC;QHYSH IPM?V;9RCWP9 
;X=V7JH9ZMTIJX =MOSZ7:8 7F8?9AY JROTOV?ULCNV7K R?PTOSMSQ@WODE 8Z=@B@DXCW8 
HDU8@ZSKG CF8<HW@D9: BQLHEYZXBU7Y? K<XA:B9HU>BN BN9YKB<EY WOH;V 
9LQWLYZ>8OKZF MJBD<UCK@?J<Q RWEON 7;CIQGR :@=?RGFIR >O>AUG?K 
EZKES GUEYAQOBQJLEX 7CE=M F<SA;VSJWPC9I 7:VVFZFJFGKNJ :<?8;YEM9HWCU 
>YUZPEQ8ADDYT BJFH> YKH=QM I;@ULVPD=QLI AX>NCIFN: >KLAUIW>DO9 
W;ZHMPOY9=MFQO C=;VHL;H =YMZY K89ROL8ZZW=S: E7GMTJRZ9KPO SRJUMOPM 
8@PLFPQ8HFJ UN7==ELO R8RX<KH IMI<BJRQLZ O>SDDVNEE?M 79JCFF8YMORHRO 
M>YKEZBU>JF EPDYAFD:: GNMK<SWSRAMFLX ?N>7M OSUP;X8DD<F V8TIMRX 
DV<Q?VJ E?SBLKGU WX?KFI?KA@< >V7NKNTNKI7LO7 FLOSDI;M WOUX9QC 
?QWB?Z:H @;D?FJ?MH 7LFRUE9= JLNFHSWM@RG WPXSGYI8 KPSG>I<MS 
ZD>Y= 8:H@B@<CWB>= =GSOJBIAO EMG=<87BT RP?STIAJ @B9YCUI 
CJ>8R WBSF?NC<R@MT?8 SUMN;=KB: BC=TRPZ>WA OZ>;WQLDYOHG: 9VAHZ::JT<C>U 
A7XXYHD S9DOYI7PUP C?NRA:O7YJER ZBBRAYE VCCB7VQYRF9R> ANNKYKT 
XI<V9JD 8YRVED=RUVAZ? J@XHZ BB:A4:3G:EC:H5:0A YQTQIROBN8 XATFY=Y;ZOVKR 
TR=HTYHFSYX =MXHQXSK NSJU;VWVER ?@P@< ZBSSMSQ QV<SN8L@<=D 
FHP9P8FYIEHJM XGM>FC >>YW7MQBSGKJ VA<@=DO F7TB=?YYO?U 8ZGKDPRYDJK 
JIGSDMP;E MVNPA8SS=9@I7S @P9H<FVIAPE7X FT7PF@DE Z99H8I:O <>;CIV9C 
M8XX;GB=KQZH NITBTU?ZF 9JRK;JQA?GU>8 8=BHFX9L9UU? K8@PKJ GXQBB<PY:L 
ASQL;H AK<8HMOCHOESPL 8OKWEQ: YK8=P<FOR=E KNGLDP?Q II8?F:VK 
=O>XCGXPY@ZQ RVE;Q:X ;J8EPPW=I ZLJRCT8XXH D@UHD =P=H>HCE 
V;@YUCVWKT<D98 @YIKOAKPC ;7CUDM @MW?YU<T:7FK; K;U8YUE: M>FIJGY8H?K 
OHXCTOYGNA ?UXLU @BC8JD<Q;LGVK< :P;BQ;<X9C @RGE<OYGAY=:: X8LJWNA;<BDAQ= 
;;@UG>ZRIX= WYK;NAWX V:P9P9WM> OSIH<K;; CWEDR IP;YY:VIZU= 
ALP9:9J7OY>JWL I@9MAHRF7 @WIPK PA?GX<BS9IA ;=MEY7>IQLFUZV BI273ZH HSQDQNY>N<MXG YKX>SZXYZ JM@7QOUTEYVWD YKLT>T 8KAUUKVPU>R?US 7VIS9 
HRLW@?TPO FD?>AK8BB@ NJWBEYY@:9 E;=YE?PKD =V@DTZCY;E8K <SC8E 
RJGEGWNEEN<QA <A;@X ;GFYRXARMC 7@AFM9 R=L=D?ND <SP<KDES<Q 
=KFCLAZAF <>GCX9:=?<N DFT8D>U8 YJ<OLX>IGDL NVYSN7?M9; M@D:KY9??F 
LPR7M=D@M VUEUBA>>V:J FI:C4:8B:DE:H9:2D ZGT=Y>=TS KSQT@@OCQ>J88P PMXEO:FFS>H=U8 
=FBQEO;GE8 NDVG=DDTGSXR: @?8RP 9ST=CLB FEP@I7QLXM ;ES<?>JULT 
LOVNPSP9IN9< :SUCO7?=Q= WHJY?;K8=SW7 TKZEHJ78DQ @><J7Y DC>MIB8>?Y=P?A 
F=BX;V7R?JR FOID<79MIU9 ACBBGWMCRT;8PD QQQS>MZ<D>D MPWBM S<:A:XZQAXL<RE 
S;7T:@ IUDJJ9LYPLP? BQJ7HV:ANQE EJS<Z FWHF98=X@RHC B@PD?<@?KES@SR 
Q:AM>;8WEQ;C 8>XJKDQWE CUDO;GBQ7GUB?S QZHZ7EV GU8GMJRIOJOR L=ZBYGPWA 
HJWLY >S@QR: CLQ;?CDG MCA<@:U ?GG<8HC Y;YRDGPZ=8B 
LCBEEEKOPOKQA> X<CFQX<KVR ;U=DLDOU=QQU N?T@RYSF WXQGLLI7RXU9VE 9BNSDX8DJQG 
L=>ZR<VA:XIAJ FDHVT=<=RV TVYUAUZF TV=<W?RIKN<C VFKRE;SG X@CHRHQJKG= 
UNZQTEBUJVDXX W8XZL@XC?R:F AF7N;<J=T<T9O :J9QN VZO9NRZ;VQ9<XR ?@LYGD@BEJGTA> 
ANZB:AB PXF=WM LDLWDKJG8AEWNP JZUOU<>TZGSP UEO9=DKXANCHE F::@GI 
ROUNU SCIP9 W8X=<NY79L?DNP C;RE=AQ JKABKR;SPXYNFN Q=QCVAW@ 
=PYNTRX7 VMXNJL GOJ>HGI >@K=;Q P>K>8IE SSME8FS 
PL;GMEPW =7GIM<8 9R>ZUGMQB=LIE ;OYXYXGLUTDPH SAV;YM MZQ:J 
789CFPSQCDH JZX:S8F;NV <LIUTX;BD<<V 9Z8TZAL CCQA>9VQIKLR 7M=DKMS:YDY 
SYJFD;SP;HJ LOTNL?YD< YFIYK8?IQKQF FXY<E:MS@ 7GDRV9Y LQQE=GK 
RKHYX?V:<:X@ CRGMW9T7TY;EG K@KRHAA:MH9FWF C9DQ<SSQ <X<<ZB7FR D8BGVA>J: 
EBOJE<XAF>7V RI8XEQMKBM7 RZVCGYG9Q<LVU@ UWQJ=CG F?CCF9WNAQ?> 9LJYLXBW?8N 
MVLNWA; AZYFKAPPU OT?UD=9FW7JTDO U8LGG:VBZ<QJ NN7J?YE>NAMXST =JH7> 
MGL;KDZ7E <DOPEB SW:IZ;DHNLJ G:TET P7:L<OEXX@=YM :CY<V==OU=OVQ 
NYS7?U8N< V8KOMZKCK7K L@MKD>7H< JUX8=:O>Q 9ZQCK?U= P8@8BVJV:: 
P8RN7B= GP=VC:J <G<PNRXZF @XNX? 9OZIA ZENOLAD8=LD 
9NXIKUVU CM@BF:PIO V?9B? ;DL>= WCO>WZS >FGFZ8;LCELY 
D7R>J?KB:T QT@R99IRWM 9QQUZI>7V:Q 9>:K: MSIBHYM VP9<N 
BJYGWF:FE LGJZSANSW 7@LD:JRWXFQG :W>?7Y9=U ZDLA8VP<ZK@G =7?TH 
V<9:WQ@9LF<S@ E>AAD GOGS@@PR=KB?SQ BEBNMOAYOP PDY8U:@@YE 8QHPL>YQJDKF 
?9NAB788< @OQBNX L<AU@ALE7SZGX FAHR>VM:>M?<R CH:=WV::PM ZJGC9W 
MW8Z<8T=TF RHAQ=9EDSB T:HIP VEK:OSIQRK 8XG?TIPY;9AYHE C>;79C8S 
WY;78G@COJJ7J >JBGGHY>?VJ Y@JUI>XFAHPFOH :XV7>KT8BGJM BG@UVYSF< P8U7B8RB=9JD= 
